Date,Open,Max,Min,Close,"Trading Volume, USD","Market Capitalization, USD",
11.06.2019,1321.82,1347.83,1321.67,1343.33,971772793,168395441265,
10.06.2019,1327.75,1337.63,1326.94,1335.71,719915924,167440164069,
07.06.2019,1323.75,1330.41,1320.48,1325.95,833682186,166217312674,
06.06.2019,1301.74,1321.23,1301.05,1319.85,779142113,165453058589,
05.06.2019,1308.59,1314.29,1300.11,1303.35,691610157,163383447161,
04.06.2019,1314.22,1321.39,1299.06,1307.55,1080328297,163910019380,
03.06.2019,1280.99,1323.06,1273.62,1315.22,1498401611,164872441674,
31.05.2019,1283.38,1288.31,1268.29,1287.09,685108065,161345507552,
30.05.2019,1282.56,1291.11,1280.69,1286.52,725051565,161274632941,
29.05.2019,1269.23,1277.77,1262.13,1275.92,753065783,159946122759,
28.05.2019,1287.34,1289.61,1264.86,1271.15,1529845599,159347158430,
27.05.2019,1280.01,1288.12,1279.12,1288.12,365436642,161475095093,
24.05.2019,1273.67,1290.80,1273.67,1279.11,770635217,160345588906,
23.05.2019,1288.79,1288.79,1269.50,1275.42,769154846,159882410498,
22.05.2019,1281.02,1296.85,1276.20,1292.79,703801885,162060095588,
21.05.2019,1257.20,1281.12,1256.10,1279.12,875290388,160347224340,
20.05.2019,1255.83,1263.72,1252.29,1256.22,529961706,157475937090,
17.05.2019,1255.98,1259.31,1252.02,1254.68,657576088,157283490791,
16.05.2019,1243.79,1266.63,1243.63,1261.33,956413240,158116954641,
15.05.2019,1246.28,1251.41,1239.02,1247.02,1023608816,156323245629,
14.05.2019,1208.00,1243.96,1208.00,1241.51,1264015093,155632080437,
13.05.2019,1215.63,1221.53,1206.96,1207.57,524430137,151377293348,
10.05.2019,1228.82,1229.69,1210.67,1213.79,498537742,152156714162,
08.05.2019,1234.93,1239.86,1229.01,1233.05,485397367,154570933536,
07.05.2019,1245.91,1247.95,1234.93,1237.86,552519764,155174032912,
06.05.2019,1243.52,1245.59,1228.15,1245.59,398838195,156142980123,
03.05.2019,1239.21,1250.79,1239.21,1248.39,455546251,156494479741,
02.05.2019,1247.09,1249.41,1236.94,1238.05,402861475,155198613008,
30.04.2019,1255.83,1255.90,1244.86,1248.39,652260276,156494513268,
29.04.2019,1247.80,1255.55,1247.21,1254.96,459783567,157318527878,
26.04.2019,1247.64,1248.29,1239.97,1247.01,693875272,156320962734,
25.04.2019,1262.49,1263.20,1244.80,1245.98,749450957,156192633215,
24.04.2019,1279.71,1279.79,1257.94,1263.97,537871658,158448056256,
23.04.2019,1276.75,1284.91,1271.58,1277.71,590064655,160169680941,
22.04.2019,1262.64,1276.98,1262.64,1275.59,328563409,159903763547,
19.04.2019,1262.73,1265.60,1259.28,1260.82,135744304,158052830798,
18.04.2019,1266.51,1266.51,1254.28,1262.28,462296942,158235209283,
