Дата;1 день
13.06.2019;7.57
11.06.2019;7.52
10.06.2019;7.61
07.06.2019;7.68
06.06.2019;7.68
05.06.2019;7.73
04.06.2019;7.68
03.06.2019;7.76
31.05.2019;8.02
30.05.2019;7.99
29.05.2019;7.98
28.05.2019;7.89
27.05.2019;7.6
24.05.2019;7.32
23.05.2019;7.55
22.05.2019;7.56
21.05.2019;7.75
20.05.2019;7.72
17.05.2019;7.77
16.05.2019;7.75
15.05.2019;7.76
14.05.2019;7.81
13.05.2019;7.74
08.05.2019;7.7
07.05.2019;7.51
06.05.2019;7.46
30.04.2019;7.84
29.04.2019;7.87
26.04.2019;7.69
25.04.2019;7.6
24.04.2019;7.37
23.04.2019;7.47
22.04.2019;7.61
19.04.2019;7.73
18.04.2019;7.74
17.04.2019;7.74
16.04.2019;7.95
15.04.2019;7.92
12.04.2019;7.96
11.04.2019;7.89
10.04.2019;7.73
09.04.2019;7.75
08.04.2019;7.76
05.04.2019;7.89
04.04.2019;7.85
03.04.2019;7.73
02.04.2019;7.64
01.04.2019;7.67
29.03.2019;7.91
28.03.2019;7.6
27.03.2019;7.67
26.03.2019;7.82
25.03.2019;7.86
22.03.2019;7.52
21.03.2019;7.52
20.03.2019;7.54
19.03.2019;7.55
18.03.2019;7.5
15.03.2019;7.56
14.03.2019;7.57
13.03.2019;7.68
12.03.2019;7.64
11.03.2019;7.81
07.03.2019;7.83
06.03.2019;7.82
05.03.2019;7.79
04.03.2019;7.66
01.03.2019;7.67
28.02.2019;7.59
27.02.2019;7.74
26.02.2019;7.55
25.02.2019;7.59
22.02.2019;7.26
21.02.2019;7.45
20.02.2019;7.63
19.02.2019;7.72
18.02.2019;7.56
15.02.2019;7.53
14.02.2019;7.49
13.02.2019;7.55
12.02.2019;7.64
11.02.2019;7.68
08.02.2019;7.64
07.02.2019;7.67
06.02.2019;7.63
05.02.2019;7.66
04.02.2019;7.64
01.02.2019;7.59
31.01.2019;7.68
30.01.2019;7.74
29.01.2019;7.81
28.01.2019;7.79
25.01.2019;7.73
24.01.2019;7.59
23.01.2019;7.61
22.01.2019;7.72
21.01.2019;7.6
18.01.2019;7.63
17.01.2019;7.65
16.01.2019;7.62
15.01.2019;7.56
14.01.2019;7.55
11.01.2019;7.54
10.01.2019;7.57
09.01.2019;7.58
29.12.2018;7.73
28.12.2018;7.15
27.12.2018;7.56
26.12.2018;7.53
25.12.2018;7.62
24.12.2018;7.59
21.12.2018;7.67
20.12.2018;7.67
19.12.2018;7.67
18.12.2018;7.58
17.12.2018;7.57
14.12.2018;7.5
13.12.2018;7.39
12.12.2018;7.38
11.12.2018;7.49
10.12.2018;7.38
07.12.2018;7.4
06.12.2018;7.37
05.12.2018;7.39
04.12.2018;7.38
03.12.2018;7.32
30.11.2018;7.49
29.11.2018;7.29
28.11.2018;7.44
27.11.2018;7.59
26.11.2018;7.45
23.11.2018;7.07
22.11.2018;6.93
21.11.2018;7.11
20.11.2018;7.01
19.11.2018;7.07
16.11.2018;7.02
15.11.2018;7.08
14.11.2018;7.25
13.11.2018;7.4
12.11.2018;7.39
09.11.2018;7.33
08.11.2018;7.36
07.11.2018;7.35
06.11.2018;7.49
02.11.2018;7.27
01.11.2018;6.88
31.10.2018;7.11
30.10.2018;7.11
29.10.2018;7.25
26.10.2018;7.25
25.10.2018;7.34
24.10.2018;7.1
23.10.2018;7.15
22.10.2018;7.19
19.10.2018;7.33
18.10.2018;7.36
17.10.2018;7.29
16.10.2018;7.29
15.10.2018;7.34
12.10.2018;7.33
11.10.2018;7.33
10.10.2018;7.21
09.10.2018;7.14
08.10.2018;7.31
05.10.2018;7.51
04.10.2018;7.35
03.10.2018;7.33
02.10.2018;7.27
01.10.2018;7.26
28.09.2018;7.38
27.09.2018;7.24
26.09.2018;7.3
25.09.2018;7.4
24.09.2018;7.19
21.09.2018;7.23
20.09.2018;7.28
19.09.2018;7.11
18.09.2018;7.29
17.09.2018;7.31
14.09.2018;7.01
13.09.2018;7.02
12.09.2018;6.92
11.09.2018;7.04
10.09.2018;6.99
07.09.2018;6.98
06.09.2018;6.94
05.09.2018;7.04
04.09.2018;7.16
03.09.2018;7.15
31.08.2018;7.13
30.08.2018;7.13
29.08.2018;7.18
28.08.2018;7.26
27.08.2018;7.18
24.08.2018;6.95
23.08.2018;6.69
22.08.2018;6.94
21.08.2018;6.93
20.08.2018;6.98
17.08.2018;6.97
16.08.2018;7.08
15.08.2018;7.11
14.08.2018;7.16
13.08.2018;7.14
10.08.2018;7.14
09.08.2018;7.07
08.08.2018;7.02
07.08.2018;6.86
06.08.2018;6.88
03.08.2018;6.8
02.08.2018;7.01
01.08.2018;7.03
31.07.2018;7.76
30.07.2018;7.71
27.07.2018;7.35
26.07.2018;7.14
25.07.2018;6.97
24.07.2018;6.86
23.07.2018;6.89
20.07.2018;7.02
19.07.2018;7.12
18.07.2018;7.1
17.07.2018;7.2
16.07.2018;7.13
13.07.2018;7.14
12.07.2018;7.08
11.07.2018;7.07
10.07.2018;7.06
09.07.2018;6.73
06.07.2018;6.84
05.07.2018;7
04.07.2018;7.03
03.07.2018;6.74
02.07.2018;7.03
29.06.2018;7.14
28.06.2018;7.14
27.06.2018;7.22
26.06.2018;7.28
25.06.2018;7.11
22.06.2018;7.06
21.06.2018;6.95
20.06.2018;6.98
19.06.2018;7
18.06.2018;7
15.06.2018;6.97
14.06.2018;7
13.06.2018;6.99
09.06.2018;6.8
08.06.2018;7
07.06.2018;7.01
06.06.2018;7
05.06.2018;6.89
04.06.2018;6.85
01.06.2018;7.04
31.05.2018;7.06
30.05.2018;7.07
29.05.2018;7.06
28.05.2018;7.05
25.05.2018;6.98
24.05.2018;6.9
23.05.2018;7.01
22.05.2018;7.07
21.05.2018;7.09
18.05.2018;7.12
17.05.2018;7.08
16.05.2018;7.04
15.05.2018;6.91
14.05.2018;6.86
11.05.2018;6.78
10.05.2018;6.81
08.05.2018;6.47
07.05.2018;6.76
04.05.2018;6.81
03.05.2018;6.98
28.04.2018;7.08
27.04.2018;7.02
26.04.2018;7.02
25.04.2018;6.92
24.04.2018;6.83
23.04.2018;6.86
20.04.2018;7.02
19.04.2018;7.02
18.04.2018;7.09
17.04.2018;7.01
16.04.2018;6.99
13.04.2018;7.01
12.04.2018;6.99
11.04.2018;7.03
10.04.2018;7.19
09.04.2018;7.06
06.04.2018;7.02
05.04.2018;6.96
04.04.2018;6.85
03.04.2018;7.01
02.04.2018;7.08
30.03.2018;7.08
29.03.2018;7
28.03.2018;6.9
27.03.2018;7.07
26.03.2018;7.04
23.03.2018;6.93
22.03.2018;7.14
21.03.2018;7.07
20.03.2018;7.14
19.03.2018;7.19
16.03.2018;7.18
15.03.2018;7.07
14.03.2018;7.32
13.03.2018;7.31
12.03.2018;7.28
07.03.2018;7.18
06.03.2018;7.18
05.03.2018;7.28
02.03.2018;7.19
01.03.2018;7.38
28.02.2018;7.45
27.02.2018;7.38
26.02.2018;7.29
22.02.2018;7.23
21.02.2018;7.26
20.02.2018;7.26
19.02.2018;7.24
16.02.2018;7.19
15.02.2018;7.09
14.02.2018;6.95
13.02.2018;6.82
