date,Russia Real Effective Exchange Rate Broad (BISBUR),Russia Nominal Effecive Exchange Rate (BISBRUN),CO1 Comdty (Oil Brent),RTS
31.03.1994,45.97,1677.32,13.25,
30.06.1994,48.35,1464.16,17.52,
30.09.1994,46.47,1202.8,17.15,
30.12.1994,48.99,839.02,16.5,
31.03.1995,46.76,572.78,17.5,
30.06.1995,56.11,560.28,16.38,
29.09.1995,70.77,620.3,16.12,86.09
29.12.1995,76.98,601.81,18.33,82.92
29.03.1996,81.13,586.32,19.41,75.63
28.06.1996,82.32,573.93,18.91,204.13
30.09.1996,77.08,540.3,23.21,165.93
31.12.1996,78.67,534.43,23.81,200.5
31.03.1997,84.11,555.2,19.38,301.3
30.06.1997,85.32,551.75,18.51,418.63
30.09.1997,86.54,564.73,19.9,498.42
31.12.1997,88.51,571.98,16.52,396.86
31.03.1998,89.5,568.46,14.26,325.5
30.06.1998,88.64,562.74,13.38,151.35
30.09.1998,51.99,230.91,14.68,43.81
31.12.1998,45.68,165.35,10.53,58.93
31.03.1999,46.05,144.79,15.24,80.36
30.06.1999,49.86,147.01,17.51,125.65
30.09.1999,49.38,139.25,23.58,83.12
31.12.1999,49.16,134.49,25.08,175.26
31.03.2000,49.19,130.84,24.77,231.88
30.06.2000,52.78,133.98,30.57,171.4
29.09.2000,58.11,142.96,29.84,199.08
29.12.2000,59.78,140.74,23.87,143.29
30.03.2001,62.76,139.01,24.74,169.46
29.06.2001,66.88,142.58,26.08,216.11
28.09.2001,64.72,136.98,23.26,180.25
31.12.2001,66.37,135.54,19.9,260.05
29.03.2002,68.07,133.07,25.92,350.75
28.06.2002,65.6,124.75,25.58,353.79
30.09.2002,64.79,122.28,28.75,334.06
31.12.2002,65.1,118.71,28.66,359.07
31.03.2003,66.5,116.69,27.18,360.33
30.06.2003,66.85,114.27,28.33,503.51
30.09.2003,67.96,116.04,27.61,566.62
31.12.2003,68.45,114.04,30.17,567.25
31.03.2004,72.22,117.19,31.51,752.66
30.06.2004,72.84,116.2,34.5,583.32
30.09.2004,73.08,114.95,46.38,631.65
31.12.2004,73.3,112.1,40.46,614.11
31.03.2005,77.7,113.73,54.29,669.07
30.06.2005,80.99,116.05,55.58,706.38
30.09.2005,80.77,115.96,63.48,1007.76
30.12.2005,83,117.07,58.98,1125.6
31.03.2006,88.4,119.49,65.91,1434.99
30.06.2006,88.99,120.01,73.51,1494.63
29.09.2006,89.78,120.34,62.48,1549.99
29.12.2006,89.73,118.81,60.86,1921.92
30.03.2007,92.67,119.49,68.1,1935.72
29.06.2007,93.39,118.99,71.41,1897.7
28.09.2007,94.01,118.38,79.17,2071.8
31.12.2007,95.91,117.68,93.85,2290.51
31.03.2008,97.87,116.37,100.3,2053.93
30.06.2008,100.47,116.64,139.83,2303.34
30.09.2008,100.25,114.64,98.17,1211.84
31.12.2008,99.35,109.92,45.59,631.89
31.03.2009,88.05,92.75,49.23,689.63
30.06.2009,93.63,97.19,69.3,987.02
30.09.2009,91.98,95.08,69.07,1254.52
31.12.2009,93.6,96.76,77.93,1444.61
31.03.2010,100.73,101.88,82.7,1572.48
30.06.2010,102.32,102.6,75.01,1339.35
30.09.2010,99.69,98.72,82.31,1507.66
31.12.2010,99.75,97.56,94.75,1770.28
31.03.2011,106.8,101.99,117.36,2044.2
30.06.2011,106.82,101.49,112.48,1906.71
30.09.2011,99.29,95.16,102.76,1341.09
30.12.2011,100.41,95.6,107.38,1381.87
30.03.2012,107.39,101.93,122.88,1637.73
29.06.2012,101.02,94.31,97.8,1350.51
28.09.2012,104.51,96.43,112.39,1475.7
31.12.2012,106.69,97.56,111.11,1526.98
29.03.2013,109.57,99.02,110.02,1460.04
28.06.2013,105.48,93.99,102.16,1275.44
30.09.2013,104.86,92.88,108.37,1422.49
31.12.2013,104.24,91.05,110.8,1442.73
31.03.2014,96.57,82.93,107.76,1226.1
30.06.2014,104.11,87.53,112.36,1366.08
30.09.2014,98.06,81.51,94.67,1123.72
31.12.2014,71.68,56.77,57.33,790.71
31.03.2015,77.49,57.38,55.11,880.42
30.06.2015,84.42,62.19,63.59,939.93
30.09.2015,71.52,51.84,48.37,789.73
31.12.2015,70.78,50.16,37.28,757.04
31.03.2016,71.22,49.67,39.6,876.2
30.06.2016,76.81,53.18,49.68,930.77
30.09.2016,78.1,53.83,49.06,990.88
30.12.2016,86.51,59.18,56.82,1152.33
31.03.2017,91.68,62.46,52.83,1113.76
30.06.2017,89.66,60.5,47.92,1000.96
29.09.2017,85.75,58.56,57.54,1136.75
29.12.2017,85.23,58.04,66.87,1154.43
30.03.2018,84.64,57.49,70.27,1249.41
29.06.2018,81.05,54.8,79.44,1154.16
28.09.2018,76.87,52.22,82.72,1192.04
31.12.2018,79.14,52.79,53.8,1068.72
29.03.2019,82.62,54.49,68.39,1198.11
30.06.2019,84.65,55.88,66.55,1380.52
