"Дата; Цена; Откр; Макс; Мин; Изм"
"Июнь '19; 7.530; 7.650; 7.650; 7.530; -1.57"
"Май '19; 7.650; 7.680; 7.680; 7.540; -0.39"
"Апр. '19; 7.680; 7.640; 7.700; 7.640; 0.52"
"Март '19; 7.640; 7.750; 7.750; 7.640; -1.42"
"Февр. '19; 7.750; 7.790; 7.790; 7.750; -0.39"
"Янв. '19; 7.780; 7.770; 7.800; 7.760; 0.13"
"Дек. '18; 7.770; 7.580; 7.770; 7.580; 2.51"
"Нояб. '18; 7.580; 7.540; 7.600; 7.530; 0.53"
"Окт. '18; 7.540; 7.540; 7.630; 7.540; 0.00"
"Сент. '18; 7.540; 7.360; 7.680; 7.360; 2.45"
"Авг. '18; 7.360; 7.110; 7.360; 7.110; 3.52"
"Июль '18; 7.110; 7.070; 7.110; 7.070; 0.57"
"Июнь '18; 7.070; 7.060; 7.070; 7.050; 0.14"
"Май '18; 7.060; 7.050; 7.060; 7.050; 0.00"
"Апр. '18; 7.060; 6.900; 7.080; 0.350; 2.47"
"Март '18; 6.890; 6.920; 6.950; 6.890; -0.43"
"Февр. '18; 6.920; 7.080; 7.080; 6.820; -2.40"
"Янв. '18; 7.090; 7.530; 7.530; 7.080; -5.97"
"Дек. '17; 7.540; 7.540; 7.540; 7.540; -3.95"
"Нояб. '17; 7.850; 7.850; 7.850; 7.850; -0.51"
"Окт. '17; 7.890; 7.890; 7.890; 7.890; -4.71"
"Сент. '17; 8.280; 8.280; 8.280; 8.280; -4.94"
"Авг. '17; 8.710; 8.710; 8.710; 8.710; -1.80"
"Июль '17; 8.870; 8.870; 8.870; 8.870; 0.23"
"Июнь '17; 8.850; 8.850; 8.850; 8.850; -0.56"
"Май '17; 8.900; 8.900; 8.900; 8.900; -6.02"
"Апр. '17; 9.470; 9.470; 9.470; 9.470; -2.77"
"Март '17; 9.740; 9.740; 9.740; 9.740; -3.28"
"Февр. '17; 10.070; 10.070; 10.070; 10.070; 0.80"
"Янв. '17; 9.990; 9.990; 9.990; 9.990; -0.60"
