Дата,Цена,Откр.,Макс.,Мин.,Изм. 
21.07.2019,6.790,6.920,7.030,6.750,-2.30
14.07.2019,6.950,7.010,7.040,6.900,-0.86
07.07.2019,7.010,6.990,7.130,6.810,0.29
30.06.2019,6.990,7.040,7.130,6.940,-0.14
23.06.2019,7.000,7.050,7.140,6.950,-0.57
16.06.2019,7.040,7.330,7.450,6.980,-3.43
09.06.2019,7.290,7.400,7.600,7.280,-1.22
02.06.2019,7.380,7.430,7.740,7.300,-0.27
26.05.2019,7.400,7.370,7.560,7.180,1.79
19.05.2019,7.270,7.240,7.450,7.150,0.41
12.05.2019,7.240,7.540,7.550,7.150,-3.60
05.05.2019,7.510,7.470,7.540,7.380,1.08
28.04.2019,7.430,7.630,7.740,7.400,-2.37
21.04.2019,7.610,7.350,7.670,7.350,0.79
14.04.2019,7.550,7.630,7.650,7.520,-0.26
07.04.2019,7.570,7.590,7.610,7.500,-0.39
31.03.2019,7.600,7.570,7.610,7.510,0.53
24.03.2019,7.560,7.420,7.600,7.380,1.89
17.03.2019,7.420,7.410,7.470,7.290,0.27
10.03.2019,7.400,7.390,7.470,7.340,0.14
03.03.2019,7.390,7.550,7.550,7.360,-1.07
24.02.2019,7.470,7.790,7.790,7.450,-2.23
17.02.2019,7.640,7.770,7.780,7.510,-0.78
10.02.2019,7.700,7.650,7.850,7.630,0.39
03.02.2019,7.670,7.670,7.790,7.550,1.59
27.01.2019,7.550,7.480,7.670,7.480,0.94
20.01.2019,7.480,7.400,7.590,7.370,0.27
13.01.2019,7.460,7.540,7.570,7.290,-0.67
06.01.2019,7.510,7.480,7.660,7.220,0.40
30.12.2018,7.480,7.480,7.560,7.220,1.22
23.12.2018,7.390,7.940,7.940,7.350,-6.22
16.12.2018,7.880,7.980,7.980,7.790,0.25
09.12.2018,7.860,7.730,7.970,7.680,1.29
02.12.2018,7.760,7.730,7.870,7.640,0.39
25.11.2018,7.730,7.710,7.870,7.600,0.26
18.11.2018,7.710,7.660,7.730,7.550,0.39
11.11.2018,7.680,7.740,7.850,7.530,-0.78
04.11.2018,7.740,7.670,7.830,7.560,1.04
28.10.2018,7.660,7.710,7.770,7.610,-0.39
21.10.2018,7.690,7.540,7.750,7.440,1.72
14.10.2018,7.560,7.120,7.560,7.110,6.03
07.10.2018,7.130,7.330,7.330,7.040,0.00
30.09.2018,7.130,7.150,7.380,7.080,-0.14
23.09.2018,7.140,7.370,7.370,7.040,-1.79
16.09.2018,7.270,7.310,7.560,7.200,-0.95
09.09.2018,7.340,7.370,7.490,7.240,-0.27
02.09.2018,7.360,7.240,7.470,6.970,3.23
26.08.2018,7.130,7.430,7.430,7.090,-3.13
19.08.2018,7.360,7.560,7.560,7.110,0.68
12.08.2018,7.310,7.330,7.630,7.190,0.55
05.08.2018,7.270,7.050,8.610,6.860,3.41
29.07.2018,7.030,7.010,7.190,6.860,0.29
22.07.2018,7.010,6.890,7.040,6.740,2.49
15.07.2018,6.840,6.610,6.900,6.560,3.01
08.07.2018,6.640,6.690,6.770,6.480,-0.60
01.07.2018,6.680,7.100,7.100,6.620,-1.04
24.06.2018,6.750,7.120,7.120,6.660,-2.60
