Дата,Цена,Откр.,Макс.,Мин.,Изм. 
21.07.2019,7.130,7.150,7.150,7.130,-0.28
14.07.2019,7.150,7.220,7.220,7.150,-0.97
07.07.2019,7.220,7.410,7.410,7.220,-2.56
30.06.2019,7.410,7.450,7.450,7.410,-0.54
23.06.2019,7.450,7.450,7.450,7.450,0.00
16.06.2019,7.450,7.490,7.490,7.450,-0.53
09.06.2019,7.490,7.610,7.610,7.490,-1.58
02.06.2019,7.610,7.670,7.670,7.610,-0.78
26.05.2019,7.670,7.670,7.670,7.670,0.00
19.05.2019,7.670,7.690,7.850,7.670,-0.26
12.05.2019,7.690,7.720,7.720,7.690,-0.39
05.05.2019,7.720,7.730,7.730,7.720,-0.13
28.04.2019,7.730,7.750,7.750,7.730,-0.26
21.04.2019,7.750,7.750,7.750,7.750,0.00
14.04.2019,7.750,7.750,7.750,7.750,-0.13
07.04.2019,7.760,7.750,7.760,7.750,0.13
31.03.2019,7.750,7.740,7.750,7.740,0.13
24.03.2019,7.740,7.750,7.750,7.740,-0.13
17.03.2019,7.750,7.830,7.830,7.750,-1.02
10.03.2019,7.830,7.830,7.830,7.830,0.00
03.03.2019,7.830,7.920,7.920,7.830,-1.14
24.02.2019,7.920,7.960,7.960,7.920,-0.50
17.02.2019,7.960,8.000,8.000,7.960,-0.50
10.02.2019,8.000,7.980,8.000,7.970,0.25
03.02.2019,7.980,7.990,8.000,7.980,0.00
27.01.2019,7.980,7.990,7.990,7.980,-0.13
20.01.2019,7.990,8.010,8.010,7.990,-0.25
13.01.2019,8.010,8.040,8.050,8.010,-0.25
06.01.2019,8.030,8.050,8.050,8.030,-0.25
23.12.2018,8.050,8.040,8.050,8.040,0.12
16.12.2018,8.040,7.860,8.040,7.860,2.29
09.12.2018,7.860,7.850,7.860,7.850,0.13
02.12.2018,7.850,7.840,7.850,7.840,0.13
25.11.2018,7.840,7.820,7.840,7.820,0.26
18.11.2018,7.820,7.850,7.850,7.820,-0.38
11.11.2018,7.850,7.790,7.890,7.790,0.77
04.11.2018,7.790,7.860,7.860,7.790,-0.89
28.10.2018,7.860,7.850,7.860,7.850,0.13
21.10.2018,7.850,7.850,7.860,7.850,0.00
14.10.2018,7.850,7.980,7.980,7.850,-1.63
07.10.2018,7.980,7.940,7.980,7.940,0.50
30.09.2018,7.940,7.850,7.940,7.850,1.15
23.09.2018,7.850,7.840,7.850,7.840,0.13
16.09.2018,7.840,7.850,7.870,7.840,-0.13
09.09.2018,7.850,7.760,7.960,7.760,1.16
02.09.2018,7.760,7.550,7.760,7.550,2.78
26.08.2018,7.550,7.400,7.550,7.390,2.03
19.08.2018,7.400,7.330,7.400,7.330,0.95
12.08.2018,7.330,7.200,7.330,7.200,1.81
05.08.2018,7.200,7.140,7.200,7.140,0.84
29.07.2018,7.140,7.120,7.140,7.120,0.28
22.07.2018,7.120,7.120,7.120,7.110,0.00
15.07.2018,7.120,7.120,7.120,7.120,-0.14
08.07.2018,7.130,7.120,7.130,7.110,0.14
01.07.2018,7.120,7.110,7.120,7.110,0.14
24.06.2018,7.110,7.080,7.110,7.080,0.42
17.06.2018,7.080,7.060,7.080,7.060,0.28
10.06.2018,7.060,7.040,7.060,7.040,0.28
03.06.2018,7.040,7.050,7.050,7.040,-0.14
27.05.2018,7.050,7.040,7.050,7.040,0.14
20.05.2018,7.040,7.040,7.050,7.040,0.00
13.05.2018,7.040,7.020,7.040,7.010,-0.28
06.05.2018,7.060,7.050,7.060,7.050,0.28
22.04.2018,7.040,0.200,7.050,0.200,-0.14
15.04.2018,7.050,7.050,7.060,7.050,0.57
08.04.2018,7.010,6.810,7.010,6.810,3.09
01.04.2018,6.800,6.770,6.800,6.770,0.59
25.03.2018,6.760,6.750,6.760,6.750,-0.15
18.03.2018,6.770,6.790,6.790,6.770,-0.15
11.03.2018,6.780,6.800,6.800,6.770,-0.44
04.03.2018,6.810,6.790,6.810,6.790,0.29
25.02.2018,6.790,6.780,6.790,6.780,0.44
18.02.2018,6.760,6.770,6.770,6.760,-0.15
11.02.2018,6.770,6.890,6.890,6.750,-2.31
04.02.2018,6.930,6.980,6.980,6.930,-0.86
28.01.2018,6.990,7.060,7.070,6.990,-1.13
21.01.2018,7.070,7.120,7.120,7.070,-1.39
14.01.2018,7.170,7.380,7.380,7.170,-3.76
07.01.2018,7.450,7.520,7.520,7.450,-0.93
24.12.2017,7.520,7.520,7.520,7.520,-0.27
17.12.2017,7.540,7.540,7.540,7.540,-2.84
