ƒата,1 день,от 2 до 7 дн.,от 8 до 30 дн.,от 31 до 90 дн.,от 91 до 180 дн.,от 181 дн. до 1 года
01.09.2000,2.57,3.18,7.75,11.07,,
04.09.2000,2.16,6.2,12.92,,,
05.09.2000,2.55,4.46,18,,,
06.09.2000,2.43,25.21,1.28,16.12,,
07.09.2000,2.18,1.75,5,10.66,,
08.09.2000,1.55,3.36,5.5,,,
11.09.2000,2.1,5.85,7.15,,,
12.09.2000,2.1,6.91,8.19,25,,
13.09.2000,2.14,6.89,8.75,13,,
14.09.2000,1.99,4.57,5.18,10,,
15.09.2000,2.08,4.3,9,17.71,,
18.09.2000,3.48,5.9,8.29,25.74,17,
19.09.2000,3.35,5.95,10.67,10.25,,
20.09.2000,3.22,8.69,8.47,,,
21.09.2000,3.04,6.74,7.89,23.4,,
22.09.2000,2.47,3.54,9.12,12,,
25.09.2000,2.67,6.18,11.42,13.36,,31
26.09.2000,2.74,7.11,11,,,
27.09.2000,2.98,7.15,8.97,,,
28.09.2000,9.51,10.84,6.51,,28,
29.09.2000,9.49,9.35,3,13.17,,
02.10.2000,3.12,7.8,10.02,13.74,,
03.10.2000,3.18,6.09,8.52,13.56,25,
04.10.2000,2.79,6.38,7.68,1.67,,
05.10.2000,2.56,2.63,12.4,9,,
06.10.2000,1.49,3.74,9.07,,,
09.10.2000,2.6,4.66,9.65,11.06,,26
10.10.2000,2.81,6.84,9.84,,,26
11.10.2000,3.12,5.46,8.13,15,,
12.10.2000,3.49,5.35,5.16,12.53,25,
13.10.2000,3.15,4.85,6.9,11.37,,
16.10.2000,5.63,6.03,11.45,14.61,28,
17.10.2000,9.55,8.68,11.54,10.36,,
18.10.2000,4.47,7.19,9.54,,,
19.10.2000,3.22,5.63,12.09,13.71,,
20.10.2000,2.25,3.06,7.49,10.79,,
23.10.2000,4.84,5.63,10.84,,,
24.10.2000,7.82,6.26,12.68,14.58,,
25.10.2000,5.49,9.29,14.62,,,
26.10.2000,3.47,7.21,5,,,
27.10.2000,4.59,6.47,,,,
30.10.2000,11.17,13.18,12.02,7,10,
31.10.2000,18.42,15.14,5.75,15.33,,
01.11.2000,5.55,8.72,7.63,,,
02.11.2000,4.45,5.92,11.96,11,,
03.11.2000,4.36,6.42,14.65,8,28,
04.11.2000,7.76,5.92,6.29,,,
08.11.2000,14.48,9.87,9.22,,,
09.11.2000,18.73,10.78,11.19,,10,
10.11.2000,3.94,5.63,2.02,,,17
13.11.2000,8.35,4.28,11.21,,,
14.11.2000,22.59,9.92,9,,,
15.11.2000,23.73,12.39,16.42,18,,
16.11.2000,9.96,8.19,16.36,,,
17.11.2000,3.39,6.06,12.64,18.54,24.78,
20.11.2000,4.7,6.54,13.53,,,
21.11.2000,6.54,8.64,12.49,18,,
22.11.2000,4.71,5.26,11.84,,,
23.11.2000,3.35,5.79,11.49,11,,
24.11.2000,2.4,3.13,13.82,3.96,,
27.11.2000,3.3,10.41,12.74,10,,
28.11.2000,2.95,3.25,15.06,,,
29.11.2000,4.78,11.67,16.33,,,
30.11.2000,6.69,10.26,5.22,6.14,10,
01.12.2000,2.64,4.35,17.46,25,,15
04.12.2000,2.8,8.39,13.54,,,15
05.12.2000,2.45,5.04,4.2,18.05,,
06.12.2000,2.32,7.68,8.36,5.06,,
07.12.2000,2.28,5.72,7.54,3,,
08.12.2000,2.4,3.11,11.02,,,17
09.12.2000,2.53,2.42,11.5,,,
13.12.2000,3.26,6.37,12.37,20,,
14.12.2000,4.51,11.6,16.74,,,
15.12.2000,3.79,7.38,12.94,14,,
18.12.2000,5.39,8.54,13.1,17.36,,15
19.12.2000,3.78,4.73,15.48,21,,
20.12.2000,5.83,13.4,13.5,10,,
21.12.2000,6.73,10.54,14.82,,,
22.12.2000,5.18,8.25,14.97,16,,
25.12.2000,12,1.59,19.47,,,
26.12.2000,24.24,27,8.63,,,
