Äàòà,1 äí.,3 äí.,7 äí.,14 äí.,21 äí.,30 äí.,60 äí.,90 äí.
03.01.1996,50,51.5,49.33,65.5,69,68.5,84.33,84.67
04.01.1996,16.25,32.33,34.8,54.67,61.33,65,78,77.67
05.01.1996,11.4,19.17,30.17,49.75,56.25,63.33,78,77.67
09.01.1996,17.25,23.6,31.17,47.2,55.75,62.4,79.33,80
10.01.1996,15.3,22,31.8,50.75,58.25,63.5,78.33,79.33
11.01.1996,14.15,20.8,33.5,48.2,55.75,62.6,78,79
12.01.1996,12.13,14.13,30.4,45.5,54.5,62,76.33,77.33
15.01.1996,11.45,21,31.5,45.5,54.5,63.25,78,79
16.01.1996,14.08,22.6,33.67,46.5,54.5,63.5,68.33,70.67
17.01.1996,17.67,22.4,34.5,46.75,55,62.8,68.33,70.67
18.01.1996,25.82,27.5,36,45,52.5,61.25,66,68.33
19.01.1996,15.5,18.83,35.5,42.25,50.75,58.75,63.33,66
22.01.1996,12.5,16.43,33.14,43,51.4,59,64.67,67.33
23.01.1996,12.1,15.5,33,40.4,47.6,56.6,63.33,66.33
24.01.1996,11.08,15.8,29.29,40,48.6,55.8,63,65
25.01.1996,13.43,17.33,28.14,40,49.67,55,63,65
26.01.1996,9.37,10.43,30.14,38.83,46.5,53.33,63,62.5
29.01.1996,10.86,17.57,28.71,39.6,47.2,55,63,65
30.01.1996,19.62,21.2,31.67,42,49.8,58,63.33,66.67
31.01.1996,18.12,22.82,33.32,46.46,54,60.78,70.91,72.35
31.01.1996,33.77,27.4,35,44.67,51.67,60.33,66.33,68.33
01.02.1996,21.14,24.6,34.83,43,50.6,58,63,66.67
02.02.1996,12.33,15.22,30.17,41,48,57,64.67,66.67
05.02.1996,13.38,18.57,30.33,40.2,47.8,56.2,64.33,66.33
06.02.1996,14,17.83,29.17,39.8,46.2,55.6,63,65
07.02.1996,32.46,21.4,33.67,39.8,46.2,56,64.67,66.67
08.02.1996,35.69,25.8,38,44.17,50,56.5,65,68.33
09.02.1996,16.29,13,27.14,39.6,46.8,55,61.67,66.33
12.02.1996,10.67,14.43,26.29,39,47.4,55.6,63.33,66.33
13.02.1996,13.5,15.8,28.29,39,48.2,55,62.33,64.67
14.02.1996,8.93,18,26.57,38,45.17,53.33,64,66.33
15.02.1996,8,15.6,25.83,37.6,43.8,51.6,62.33,64.67
16.02.1996,6.86,8.17,22.5,35.5,42,51.75,65,67.5
19.02.1996,8.2,13.14,28.29,39.17,46.5,53.67,62.33,64.67
20.02.1996,9.27,14.6,23.57,37.5,43.75,49.25,60.67,63
21.02.1996,7.27,16,23.14,39,43.4,51,60.67,63
22.02.1996,6.08,11.75,22.43,36.33,42.83,50.33,60.67,63
23.02.1996,6.2,7.75,18.33,35.5,40.75,45.5,58.33,60.67
26.02.1996,6.9,10.88,20.83,35,43,49.4,46,47
27.02.1996,12.36,11.25,17.75,31.67,40.67,46.33,58.33,60
28.02.1996,13.23,16.25,22.17,34.8,40.8,45.75,57.67,59
29.02.1996,14.26,16.08,26.96,38.47,45.37,52.7,61.28,63.64
29.02.1996,28.36,18,25.67,35.4,41,45.4,57.67,59
01.03.1996,18.5,13.13,21.83,32.6,38.2,43.4,56,57.33
04.03.1996,13.62,17.38,25.57,35.2,39.6,44,57.67,59
05.03.1996,42.91,24.33,28.6,38.33,41.67,44.67,61.5,63.5
06.03.1996,47.69,28.33,35.83,42.6,43.2,46.8,46.5,46
07.03.1996,42.5,35.22,33,41.6,44,47.8,46.5,46
11.03.1996,24.27,28.86,33,40.67,44.4,48.2,46.5,46
12.03.1996,40.77,30.75,35.5,41.75,45,48.5,46.5,46
13.03.1996,24.85,27.75,34.17,40.6,44.4,47.6,47,46.5
14.03.1996,18.31,21.5,30.8,38.4,41.8,45.4,44.5,46.5
15.03.1996,34.75,32.8,36.6,41.4,44.8,47.4,47,46.5
18.03.1996,43.11,39.57,36.4,41.4,44.8,47.6,47,46.5
19.03.1996,42.45,36.5,41,45.6,50.4,54,50,46.5
20.03.1996,32.85,32,37.86,45.5,48.5,53.83,50,46.5
21.03.1996,27.36,33.75,40.25,46,48.25,51,50,46.5
22.03.1996,12.5,15.43,30.5,42.8,46.6,49.2,50,46.5
25.03.1996,16.45,18.33,30.83,39.6,46.2,50,47.5,44
26.03.1996,33.15,18.8,33.83,39.2,44.4,48.4,47.5,44
27.03.1996,51.21,20.67,40.33,45.6,50.25,52.6,50,46.5
28.03.1996,55.57,26,48.83,50.6,53.6,56,50,54.33
29.03.1996,31.67,25.22,33,40.43,44.32,48.08,50.85,50.27
29.03.1996,58.33,51.25,52.4,51.5,53,56.25,52.5,49
31.03.1996,31.67,25.22,33,40.43,44.32,48.08,50.85,50.27
01.04.1996,29,34.67,39.67,45,49.2,51,49,46.5
02.04.1996,15.97,26.2,38.67,42.8,46.4,49.8,50,47.5
03.04.1996,10.67,22.33,34.67,41.2,45.25,47.8,50,50
04.04.1996,11.01,19.5,32.83,37.8,42,46,48,47.5
05.04.1996,11.8,12.86,33.67,39.4,46.6,52.2,44,43
08.04.1996,9.7,15,32.5,37.4,41.4,47.8,46.5,45
09.04.1996,17.62,19.4,30.67,36.6,40.8,49.6,46.5,45
10.04.1996,32.29,22.75,32,37.4,41.2,47.6,46.5,45
11.04.1996,60.14,30.33,38,41.8,45.4,49.8,50,46.5
12.04.1996,32.5,23.75,38.43,42.33,47.17,52.83,47.5,46.5
15.04.1996,21.82,25.2,39.67,45.6,51,54.4,47.5,46.5
16.04.1996,20.83,28.33,36.8,43.25,49.5,52.25,47.5,47
17.04.1996,14.33,27,37.83,44.4,49.4,52.8,48.5,47
18.04.1996,13.23,29.33,37.67,44.2,49.6,53,48.5,50
19.04.1996,10.5,12.5,38.83,45.6,52,55.6,48.5,50
22.04.1996,13.93,24.17,34.13,43.5,50.83,53.57,51,53.33
23.04.1996,12.18,27,31,43.75,50.5,52.5,48,50
24.04.1996,13.14,25,34.8,43.6,50.6,53,48,50
25.04.1996,19.86,27,35.33,43.4,48.4,49.17,50,53.33
26.04.1996,18.33,19.88,33.8,43,48.8,50.8,47.5,50
29.04.1996,15,24.67,29.4,39.57,46.5,47.33,50,53.33
30.04.1996,18.29,23.36,33.48,41.28,46.89,50.36,48.27,48.72
30.04.1996,12.4,20,25,36.43,44,47.67,47.5,50
05.05.1996,12.45,17.5,23.33,36.33,44.67,49.83,47.5,50
06.05.1996,15,19.5,25.33,36.17,45.33,51.67,47.5,50
07.05.1996,31.91,19,26.8,35.8,42.4,49.6,47.5,50
08.05.1996,10.67,23.7,27.6,36.8,40.8,46.6,47.5,50
12.05.1996,17.1,22,29,37,40.75,47.2,47.5,50
13.05.1996,16.86,21.6,31.83,38,42,47.6,47.5,50
14.05.1996,20,21,32.75,37.33,41.67,47.33,47.5,50
15.05.1996,21,24.4,32.71,40.33,44.33,50.17,47.5,50
16.05.1996,17.93,22.67,33,37.6,45.4,47.5,47.5,50
17.05.1996,11,12.25,29.33,37.6,44.4,51.2,50,50
20.05.1996,11.21,17.8,28.67,35.8,41.4,46,47.5,50
21.05.1996,12.69,19.2,26.71,35.8,40.83,46.6,47.5,50
22.05.1996,13.13,18.4,26.57,36.4,43.6,47.4,47.5,55
23.05.1996,18.69,22,26.5,36.4,42.4,46.6,50,55
24.05.1996,24,19.82,33.71,38.4,43.6,47.2,50,57.5
27.05.1996,14.42,19.4,32.25,39.4,43.6,49,51,57.5
28.05.1996,29.75,24.5,38.2,40.5,46.25,51.25,57,65
29.05.1996,23.23,21.67,36,41.75,46.5,51.25,57,68
30.05.1996,14.82,17.67,33.5,39,45,50,56,57.5
31.05.1996,16.8,19.82,30.02,37.73,43.51,48.75,49.83,53.9
31.05.1996,,13.08,32.17,39.8,45,50,56,62.5
03.06.1996,16.13,22,35.67,41,47,53,57,70
04.06.1996,19.91,24,37,42,49,54.33,58,70
05.06.1996,24.14,22.33,33.43,41.6,45.2,51.4,57.5,60
