"",investment,UNEMPL_Q_SH,EMPLDEC_Q,CONSTR_Q_NAT,TRP_Q_PASS_DIRI,WAG_Q,CPI_Q_CHI,CONI_Q_CHI,CTI_Q_CHI,INVFC_Q,PPI_EA_Q,AGR_Q_DIRI,CNSTR_Q_DIRI,RTRD_Q_DIRI,HHI_Q_DIRI,M0_Q,M2_Q,IR_Q,ICR_Q,CBREV_Q,CBEX_Q,FBREV_Q,FBEX_Q,RDEXRO_Q,RDEXRM_Q,RDEXRMA_Q,LIAB_T_Q,LIAB_UNP_Q,LIAB_S_Q,LIAB_B_Q,DBT_T_Q,DBT_UNP_Q,DBT_P_Q,EX_T_Q,IM_T_Q,GDPEA_Q_DIRI,GDPEA_C_Q,deflator,mkr_1d,mkr_7d,gov_6m,gov_1y,gov_3y,GKO,reer,neer,oil,rts
1992 Q1,,,,,,,,,,,,,,,,0.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992 Q2,,,,,,,,,,,,,,,,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992 Q3,,,,,,,,,,,,,,,,0.9,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992 Q4,,,,,,,,,,,,,,,100,1.7,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993 Q1,,,,4.2,,100,189,,,1.6,204.2,100,,,88,2.6,8.6,,,5,5.8,2.5,3.9,0.68,,,,,,,,,,,,,,,,,,,,,,,,
1993 Q2,,,,7.3,,115.2,168.5,,,3.8,165.6,157.4,,,97.7,5.1,15.3,,,8.2,8.1,3.9,3.9,1.06,,,,,,,,,,,,,,,,,,,,,,,,
1993 Q3,,,,7.3,,109.38,189.1,,,6.2,195.1,392.4,,,102.6,8.4,21.1,,,14.6,17.9,7.8,11.8,1.2,,,,,,,,,,,,,,,,,,,,,,,,
1993 Q4,,,,23,,104.35,157.3,,,15.6,151.9,197.7,,,106.7,13.3,31.6,,,14,25.5,3,14.5,1.25,1.25,,,,,,,,,,,,,,,,,,,,,,,
1994 Q1,,6.8,283,4,,96,140.1,137,198,12.3,151.8,87,,100,96,15.9,38.3,,,19.6,28.4,8,17,1.75,1.75,1.63,60.3,22.7,15.6,3.9,55.6,23.9,21.5,13.2,11.3,86.8432479374729,88,,,,,,,,45.97,1677.32,13.25,
1994 Q2,,7.4,335,6.6,,97.92,122.5,146,133,22.1,127.1,136.9,,98.9,110.4,23.8,57.6,,,40.4,46.3,21.5,28,1.99,1.99,1.88,94.8,39.2,26.3,7.6,83.7,37.7,33.6,17.3,12.1,87.9982631350413,130,,,,,,,,48.35,1464.16,17.52,
