ввп в текущих ценах;инвестиции в текущих ценах;deflator (в процентах к кварталу прошлого года);"индекс предприним уверенности организаций, обеспечивающих электрической энергией, газом и паром; кондиционированием воздуха";'организаций по добыче полезных ископаемых (без малых предприятий);'организаций обрабатывающих производств (без малых предприятий)
234.9775;30;;;;
324.252184;61.7;;;;
421.0596754;75.8;;;;
448.2327072;133.6;;;;
425.2889;63.4;;;;
468.4185;78.9;;;;
548.8781;97.6;;;;
565.2396;161.7;;;;
512.3688;77.1;185.1346805;;;
555.0768;90.1;149.5867794;;;
634.1592;116;137.9486745;;;
640.9092;145.3;130.1271714;;;
550.8655;73.6;121.008977;;;
602.453;90;119.4898212;;;
675.4571;115.2;112.3434696;;;
800.8474;145.9;109.4304874;;;
901.3468;101.9;109.1322658;;;
1101.5012;139.1;109.6147117;;;
1373.0663;194;116.8206566;;;
1447.3192;258.9;137.5081802;;;
1527.4227;179.7;166.6416916;;;
1696.6486;252.5;177.252071;;;
2037.845;346.3;182.3752138;;;
2043.73;453.5;161.2449993;;;
1900.8728;264.4;152.0886464;;;
2105.0057;367.5;139.732904;;;
2487.8722;470.3;134.255212;;;
2449.8317;587.1;130.4295561;;;
2262.186608;305.6;118.8791826;;;
2528.670978;418.2942;118.1038596;;;
3012.806067;542.7262;115.1413288;;;
3026.871261;672.7021;114.6640485;;;
2851.105491;376.2;114.6529609;;;
3101.693599;530.9;115.0572872;;;
3600.220824;672.1;115.9632571;;;
3655.213865;853.1;116.3796697;;;
3515.656534;496.3;117.126148;;;
3971.607965;690.5;113.8308365;;;
4594.022304;850.3;113.4307839;;;
4945.904056;1093.4;112.0949187;;;
4458.608974;584;114.9824962;;;
5077.868507;832.6;118.5290475;;;
5845.237909;1049.6;118.8957596;;;
6228.050099;1370.7;127.3879183;;;
5792.948505;706;120.1233568;;;
6368.070329;1076.9;120.6013003;;;
7275.847142;1350.3;120.0781426;;;
7480.335399;1847.4;116.8332981;;;
6780.222849;954.4;121.0905751;;;
7767.517127;1479.5;116.0310129;;;
8902.73365;1805.1;115.0510574;;;
9797.039603;2741.4;110.3108282;;;
8877.653354;1404.3;108.3027966;;;
10238.28001;2093.8;112.2979697;;;
11542.04755;2471.6;113.115669;;;
10618.86827;3231.1;119.9523208;;;
8334.632782;1345;119.9300128;;;
9244.828821;1856.7;122.1568793;;;
10411.33396;2201.6;121.8340452;-8;8;-2
10816.42302;3132.4;109.8406565;-5;6;2
9995.758259;1403.9;103.3976917;-2;8;6
10977.03526;2164.8;101.6297176;-2;10;5
12086.46396;2578.3;98.71113532;-8;-5;-14
13249.28371;3867.4;104.5665035;-7;2;-3
13028.8438;1829.7;115.2409197;-7;6;0
14481.142;2743.2;113.0826548;-10;9;1
15805.58167;3278.4;111.811289;-6;4;-1
16966.97304;5101.7;116.5704446;-8;0;-3
15182.98721;2195.4;115.8014848;-10;-2;-6
16472.2155;3166.8;117.9720726;-10;2;-4
17733.54479;3741.3;116.0404955;-6;0;-1
18775.13561;5585.7;114.1295065;-6;3;-2
16375.26128;2473.2;110.5188131;6;3;-2
17538.83871;3491.5;108.9158461;8;3;3
19058.11404;3975.7;108.6470181;3;3;5
20161.68106;5985.2;108.587796;3;6;2
17390.2;2593.4;106.5147784;2;-7;-13
19128;3615.5;104.713178;6;2;-2
20758.6;4124.5;105.7496505;7;4;-1
21922.9;6494.7;104.7964316;7;4;1
17301.58639;2632.9;105.7038548;8;1;-3
19051.94182;3674.7;107.6586298;4;-1;-6
20541.89454;4192.7;107.9723671;3;-2;-7
22163.06128;6614.8;108.3800722;6;-1;-5
18454.75482;2881.5;108.618503;4;0;-3
19759.66715;3686.6;107.4828129;4;1;-3
21814.91;4147.7;108.3888755;5;0;-6
23064.97264;6610;106.1197988;8;0;0
18950.22351;2866.2;103.0862509;3;1;-1
20558.18491;3944.4;103.6917007;1;-16;-20
22339.96032;4506;102.1113456;0;-13;-15
24165.83556;7593.9;103.7825137;6;-3;-6
20644.07095;3305.7;107.3498394;6;-3;-6
21971.9006;4462.5;104.2355389;6;-5;-5
23795.48087;4898.7;104.107541;6;-5;-8
25689.8954;7904.2;105.951035;4;-7;-10
22438.0993;3522.7;106.715028;2;-5;-11
24823.81125;4848.7;110.592031;6;-7;-8
27127.18324;5416.4;111.5713318;3;-2;-5
29486.70659;8449.6;111.712198;5;-4;-8
