"date","true","true_lag","model","lag","startdt","enddt","h","pred","forecastdate"
2013-01-01,0.0425098488643128,238.748905763948,"Adaptive LASSO",0,1996-01-01,2012-10-01,0,0.0425098488643128,2013-01-01
2013-04-01,0.0294501829787031,341.550543813368,"Adaptive LASSO",0,1996-01-01,2012-10-01,1,0.0244283248288381,2013-01-01
2013-07-01,-0.00461840919667361,393.584391897409,"Adaptive LASSO",0,1996-01-01,2012-10-01,2,0.0508341376188771,2013-01-01
2013-10-01,0.00370582513951003,577.562026618051,"Adaptive LASSO",0,1996-01-01,2012-10-01,3,0.0576880547633657,2013-01-01
2014-01-01,0.00702621742640895,249.116895222166,"Adaptive LASSO",0,1996-01-01,2012-10-01,4,0.1054120707165,2013-01-01
2014-04-01,-0.034634865994441,351.758850265629,"Adaptive LASSO",0,1996-01-01,2012-10-01,5,0.0808463955231854,2013-01-01
2014-07-01,-0.0228150482838966,391.770849186895,"Adaptive LASSO",0,1996-01-01,2012-10-01,6,0.0221830985373049,2013-01-01
2014-10-01,0.0329969924040047,579.706341269475,"Adaptive LASSO",0,1996-01-01,2012-10-01,7,0.0814887643022144,2013-01-01
2015-01-01,-0.0460400225763185,250.873408287695,"Adaptive LASSO",0,1996-01-01,2012-10-01,8,0.0212238020112124,2013-01-01
2013-04-01,0.0294501829787031,341.550543813368,"Adaptive LASSO",0,1996-01-01,2013-01-01,0,0.0294501829787031,2013-04-01
2013-07-01,-0.00461840919667361,393.584391897409,"Adaptive LASSO",0,1996-01-01,2013-01-01,1,0.038780003850883,2013-04-01
2013-10-01,0.00370582513951003,577.562026618051,"Adaptive LASSO",0,1996-01-01,2013-01-01,2,0.0361447915702201,2013-04-01
2014-01-01,0.00702621742640895,249.116895222166,"Adaptive LASSO",0,1996-01-01,2013-01-01,3,0.0163754066847802,2013-04-01
2014-04-01,-0.034634865994441,351.758850265629,"Adaptive LASSO",0,1996-01-01,2013-01-01,4,0.0694903294736032,2013-04-01
2014-07-01,-0.0228150482838966,391.770849186895,"Adaptive LASSO",0,1996-01-01,2013-01-01,5,0.0603964324723688,2013-04-01
2014-10-01,0.0329969924040047,579.706341269475,"Adaptive LASSO",0,1996-01-01,2013-01-01,6,-0.00786865369718846,2013-04-01
2015-01-01,-0.0460400225763185,250.873408287695,"Adaptive LASSO",0,1996-01-01,2013-01-01,7,-0.0165574532222541,2013-04-01
2015-04-01,-0.117059876024648,339.784295186006,"Adaptive LASSO",0,1996-01-01,2013-01-01,8,-0.0424792593424156,2013-04-01
2013-07-01,-0.00461840919667361,393.584391897409,"Adaptive LASSO",0,1996-01-01,2013-04-01,0,-0.00461840919667361,2013-07-01
2013-10-01,0.00370582513951003,577.562026618051,"Adaptive LASSO",0,1996-01-01,2013-04-01,1,0.0267324092365034,2013-07-01
2014-01-01,0.00702621742640895,249.116895222166,"Adaptive LASSO",0,1996-01-01,2013-04-01,2,0.0407263219730212,2013-07-01
2014-04-01,-0.034634865994441,351.758850265629,"Adaptive LASSO",0,1996-01-01,2013-04-01,3,0.0532309419122925,2013-07-01
2014-07-01,-0.0228150482838966,391.770849186895,"Adaptive LASSO",0,1996-01-01,2013-04-01,4,0.0563733772770633,2013-07-01
2014-10-01,0.0329969924040047,579.706341269475,"Adaptive LASSO",0,1996-01-01,2013-04-01,5,0.0610368228428032,2013-07-01
2015-01-01,-0.0460400225763185,250.873408287695,"Adaptive LASSO",0,1996-01-01,2013-04-01,6,0.0178058635091361,2013-07-01
2015-04-01,-0.117059876024648,339.784295186006,"Adaptive LASSO",0,1996-01-01,2013-04-01,7,0.0148651414030316,2013-07-01
2015-07-01,-0.146551896162042,382.933770855294,"Adaptive LASSO",0,1996-01-01,2013-04-01,8,-0.0514650465932182,2013-07-01
2013-10-01,0.00370582513951003,577.562026618051,"Adaptive LASSO",0,1996-01-01,2013-07-01,0,0.00370582513951003,2013-10-01
2014-01-01,0.00702621742640895,249.116895222166,"Adaptive LASSO",0,1996-01-01,2013-07-01,1,0.051318217769541,2013-10-01
2014-04-01,-0.034634865994441,351.758850265629,"Adaptive LASSO",0,1996-01-01,2013-07-01,2,0.0231971279350963,2013-10-01
2014-07-01,-0.0228150482838966,391.770849186895,"Adaptive LASSO",0,1996-01-01,2013-07-01,3,0.0220420484970411,2013-10-01
2014-10-01,0.0329969924040047,579.706341269475,"Adaptive LASSO",0,1996-01-01,2013-07-01,4,0.0127773945608685,2013-10-01
2015-01-01,-0.0460400225763185,250.873408287695,"Adaptive LASSO",0,1996-01-01,2013-07-01,5,-0.00753439914709453,2013-10-01
2015-04-01,-0.117059876024648,339.784295186006,"Adaptive LASSO",0,1996-01-01,2013-07-01,6,-0.0571601475187856,2013-10-01
2015-07-01,-0.146551896162042,382.933770855294,"Adaptive LASSO",0,1996-01-01,2013-07-01,7,-0.00611971539123935,2013-10-01
2015-10-01,-0.1179975823959,599.153999604791,"Adaptive LASSO",0,1996-01-01,2013-07-01,8,-0.0447942339188962,2013-10-01
2014-01-01,0.00702621742640895,249.116895222166,"Adaptive LASSO",0,1996-01-01,2013-10-01,0,0.00702621742640895,2014-01-01
2014-04-01,-0.034634865994441,351.758850265629,"Adaptive LASSO",0,1996-01-01,2013-10-01,1,-0.0234915564714424,2014-01-01
2014-07-01,-0.0228150482838966,391.770849186895,"Adaptive LASSO",0,1996-01-01,2013-10-01,2,0.0249031057181161,2014-01-01
2014-10-01,0.0329969924040047,579.706341269475,"Adaptive LASSO",0,1996-01-01,2013-10-01,3,-0.00171470910956287,2014-01-01
2015-01-01,-0.0460400225763185,250.873408287695,"Adaptive LASSO",0,1996-01-01,2013-10-01,4,0.0607217721206397,2014-01-01
2015-04-01,-0.117059876024648,339.784295186006,"Adaptive LASSO",0,1996-01-01,2013-10-01,5,0.0724125109601087,2014-01-01
2015-07-01,-0.146551896162042,382.933770855294,"Adaptive LASSO",0,1996-01-01,2013-10-01,6,0.157049456174366,2014-01-01
2015-10-01,-0.1179975823959,599.153999604791,"Adaptive LASSO",0,1996-01-01,2013-10-01,7,0.00670238649963081,2014-01-01
2016-01-01,-0.0990419548744283,239.585043109993,"Adaptive LASSO",0,1996-01-01,2013-10-01,8,-0.00739636048712653,2014-01-01
2014-04-01,-0.034634865994441,351.758850265629,"Adaptive LASSO",0,1996-01-01,2014-01-01,0,-0.034634865994441,2014-04-01
2014-07-01,-0.0228150482838966,391.770849186895,"Adaptive LASSO",0,1996-01-01,2014-01-01,1,0.0115672643755043,2014-04-01
2014-10-01,0.0329969924040047,579.706341269475,"Adaptive LASSO",0,1996-01-01,2014-01-01,2,-0.000233437872354168,2014-04-01
2015-01-01,-0.0460400225763185,250.873408287695,"Adaptive LASSO",0,1996-01-01,2014-01-01,3,0.0187710592954036,2014-04-01
2015-04-01,-0.117059876024648,339.784295186006,"Adaptive LASSO",0,1996-01-01,2014-01-01,4,0.018418356782088,2014-04-01
2015-07-01,-0.146551896162042,382.933770855294,"Adaptive LASSO",0,1996-01-01,2014-01-01,5,0.0281656815424319,2014-04-01
2015-10-01,-0.1179975823959,599.153999604791,"Adaptive LASSO",0,1996-01-01,2014-01-01,6,0.0266661337801239,2014-04-01
2016-01-01,-0.0990419548744283,239.585043109993,"Adaptive LASSO",0,1996-01-01,2014-01-01,7,-0.00180532208105508,2014-04-01
2016-04-01,-0.00865417594314087,302.248979857756,"Adaptive LASSO",0,1996-01-01,2014-01-01,8,-0.0279294529272213,2014-04-01
2014-07-01,-0.0228150482838966,391.770849186895,"Adaptive LASSO",0,1996-01-01,2014-04-01,0,-0.0228150482838966,2014-07-01
2014-10-01,0.0329969924040047,579.706341269475,"Adaptive LASSO",0,1996-01-01,2014-04-01,1,-0.0402199962048886,2014-07-01
2015-01-01,-0.0460400225763185,250.873408287695,"Adaptive LASSO",0,1996-01-01,2014-04-01,2,-0.0228386546156427,2014-07-01
2015-04-01,-0.117059876024648,339.784295186006,"Adaptive LASSO",0,1996-01-01,2014-04-01,3,-0.00751028150264958,2014-07-01
2015-07-01,-0.146551896162042,382.933770855294,"Adaptive LASSO",0,1996-01-01,2014-04-01,4,0.0107535656314345,2014-07-01
2015-10-01,-0.1179975823959,599.153999604791,"Adaptive LASSO",0,1996-01-01,2014-04-01,5,0.00530440891644395,2014-07-01
2016-01-01,-0.0990419548744283,239.585043109993,"Adaptive LASSO",0,1996-01-01,2014-04-01,6,0.082763553012146,2014-07-01
2016-04-01,-0.00865417594314087,302.248979857756,"Adaptive LASSO",0,1996-01-01,2014-04-01,7,0.00203957972046405,2014-07-01
2016-07-01,0.0165646440487679,330.732587470375,"Adaptive LASSO",0,1996-01-01,2014-04-01,8,0.0025103956284583,2014-07-01
2014-10-01,0.0329969924040047,579.706341269475,"Adaptive LASSO",0,1996-01-01,2014-07-01,0,0.0329969924040047,2014-10-01
2015-01-01,-0.0460400225763185,250.873408287695,"Adaptive LASSO",0,1996-01-01,2014-07-01,1,-0.0163029622755353,2014-10-01
2015-04-01,-0.117059876024648,339.784295186006,"Adaptive LASSO",0,1996-01-01,2014-07-01,2,0.0148731774932483,2014-10-01
2015-07-01,-0.146551896162042,382.933770855294,"Adaptive LASSO",0,1996-01-01,2014-07-01,3,-0.0216824523716455,2014-10-01
2015-10-01,-0.1179975823959,599.153999604791,"Adaptive LASSO",0,1996-01-01,2014-07-01,4,0.0145058190214455,2014-10-01
2016-01-01,-0.0990419548744283,239.585043109993,"Adaptive LASSO",0,1996-01-01,2014-07-01,5,0.0250294403674156,2014-10-01
2016-04-01,-0.00865417594314087,302.248979857756,"Adaptive LASSO",0,1996-01-01,2014-07-01,6,0.010535363530007,2014-10-01
2016-07-01,0.0165646440487679,330.732587470375,"Adaptive LASSO",0,1996-01-01,2014-07-01,7,0.0402031036652032,2014-10-01
2016-10-01,0.0618584885869385,532.467081650081,"Adaptive LASSO",0,1996-01-01,2014-07-01,8,0.0193846831741506,2014-10-01
2015-01-01,-0.0460400225763185,250.873408287695,"Adaptive LASSO",0,1996-01-01,2014-10-01,0,-0.0460400225763185,2015-01-01
2015-04-01,-0.117059876024648,339.784295186006,"Adaptive LASSO",0,1996-01-01,2014-10-01,1,-0.053371113273898,2015-01-01
2015-07-01,-0.146551896162042,382.933770855294,"Adaptive LASSO",0,1996-01-01,2014-10-01,2,-0.00195491212153278,2015-01-01
2015-10-01,-0.1179975823959,599.153999604791,"Adaptive LASSO",0,1996-01-01,2014-10-01,3,0.00449531513298835,2015-01-01
